(0, 1, 7.16)
(1, 4, 2.35)
(1, 2, 2.25)
(2, 4, 2.2)
(2, 3, 2.59)
(0, 6, 5.75)
(6, 11, 5.04)
(4, 7, 3.2)
(11, 7, 0.864)
(7, 8, 0.753)
(8, 12, 1.09)
(8, 9, 2.3)
(4, 5, 2.96)
(5, 3, 3.19)
(5, 10, 3.83)
(5, 9, 2.09)
(10, 18, 4.44)
(10, 17, 3.43)
(17, 18, 5.43)
(9, 17, 1.28)
(9, 16, 1.31)
(16, 17, 0.984)
(6, 19, 6.76)
(11, 13, 1.19)
(12, 14, 1.08)
(12, 15, 2.04)
(14, 15, 1)
(15, 16, 1.74)
(16, 22, 2.23)
(15, 21, 1.93)
(14, 21, 2.8)
(13, 20, 2.53)
(19, 20, 3.81)
(19, 24, 3.06)
(24, 25, 2.48)
(20, 25, 4.23)
(25, 26, 3.18)
(20, 21, 2.19)
(21, 26, 5.39)
(26, 27, 4.44)
(23, 27, 4.25)
(21, 23, 2.05)
(13, 14, 0.774)
(21, 22, 1.72)
(22, 23, 0.848)
(22, 18, 5.91)
(11, 12, 0.463)
